                                
savage uncontrolled                     
pandemic disease                        
introvert shy                           
seldom rarely                           
aberrant deviant                        
abhor hate                              
abiding lasting                         
abjure claim                            
able inteligency                        
accent pronunciation                    
delay postpone                          
quarantine isolation                    
abc efg                                 
erf ghj                                 
hhhh nnnn                               
kkk llll                                
mmm nnn                                 
ooo mmm                                 
shj hk                                  
hhh kkk                                 
